NR_CONTA;10006
DT. MOV;CD.OPER;OPERACAO;HIST. AUX; CONCIL.;ESPECIE;NR. DOC;CREDITO;DEBITO;SALDO;SLD. CONCIL"
31/12/2025;;;;;;;;;65.000,83;-1.089.358,15
02/01/2026;910;PAGAMENTO EM DINHEIRO;782 399 1 FACCAO DAM;Sim;Dinheiro;;;80,00;59.161,59
02/01/2026;1041;ALUGUEL P.O.S. PARA OPERADORA;85314307 POS;Sim;Dinheiro;;;25,80;59.135,79
02/01/2026;1040;LIQUIDACAO DE CARTAO;15451189 GETNET CREDITO DE CARTAO;Sim;Dinheiro;219119;56,16;;59.191,95
02/01/2026;1040;LIQUIDACAO DE CARTAO;15451189 GETNET CREDITO DE CARTAO;Sim;Dinheiro;219120;216,19;;59.408,14
02/01/2026;1040;LIQUIDACAO DE CARTAO;15451189 GETNET CREDITO DE CARTAO;Sim;Dinheiro;219121;48,14;;59.456,28
02/01/2026;888;TRANSF. CTAS (C);CTA ORIG  20 010;Sim;Dinheiro;0201;22.000,00;;81.456,28
02/01/2026;1041;ALUGUEL P.O.S. PARA OPERADORA;100651755 POS;Sim;Dinheiro;;;14,70;81.441,58
02/01/2026;1041;ALUGUEL P.O.S. PARA OPERADORA;101436602 POS;Sim;Dinheiro;;;28,00;81.413,58
02/01/2026;1041;ALUGUEL P.O.S. PARA OPERADORA;101436602 POS;Sim;Dinheiro;;;56,00;81.357,58
02/01/2026;1041;ALUGUEL P.O.S. PARA OPERADORA;103953213 POS;Sim;Dinheiro;;;207,00;81.150,58
02/01/2026;1041;ALUGUEL P.O.S. PARA OPERADORA;103953213 POS;Sim;Dinheiro;;;69,00;81.081,58
02/01/2026;1040;LIQUIDACAO DE CARTAO;100506496 MASTERCARD MAESTRO CREDITO DE CARTAO;Sim;Dinheiro;219320;1.777,70;;82.859,28
02/01/2026;1040;LIQUIDACAO DE CARTAO;100506496 VISA VISA ELECTRON CREDITO DE CARTAO;Sim;Dinheiro;219321;2.503,45;;85.362,73
02/01/2026;1040;LIQUIDACAO DE CARTAO;100506496 ELO CREDITO DE CARTAO;Sim;Dinheiro;219322;470,73;;85.833,46
02/01/2026;1040;LIQUIDACAO DE CARTAO;100651755 MASTERCARD MAESTRO CREDITO DE CARTAO;Sim;Dinheiro;219323;318,97;;86.152,43
02/01/2026;1040;LIQUIDACAO DE CARTAO;101436173 MASTERCARD MAESTRO CREDITO DE CARTAO;Sim;Dinheiro;219324;412,08;;86.564,51
02/01/2026;1040;LIQUIDACAO DE CARTAO;101436173 VISA VISA ELECTRON CREDITO DE CARTAO;Sim;Dinheiro;219325;429,72;;86.994,23
02/01/2026;1040;LIQUIDACAO DE CARTAO;101436602 MASTERCARD MAESTRO CREDITO DE CARTAO;Sim;Dinheiro;219326;572,56;;87.566,79
02/01/2026;1040;LIQUIDACAO DE CARTAO;102536023 MASTERCARD MAESTRO CREDITO DE CARTAO;Sim;Dinheiro;219327;278,49;;87.845,28
02/01/2026;1040;LIQUIDACAO DE CARTAO;102536023 VISA VISA ELECTRON CREDITO DE CARTAO;Sim;Dinheiro;219328;939,00;;88.784,28
02/01/2026;1040;LIQUIDACAO DE CARTAO;102670897 MASTERCARD MAESTRO CREDITO DE CARTAO;Sim;Dinheiro;219329;1.476,80;;90.261,08
02/01/2026;1040;LIQUIDACAO DE CARTAO;102670897 VISA VISA ELECTRON CREDITO DE CARTAO;Sim;Dinheiro;219330;1.649,09;;91.910,17
02/01/2026;1040;LIQUIDACAO DE CARTAO;103953213 MASTERCARD MAESTRO CREDITO DE CARTAO;Sim;Dinheiro;219331;2.216,22;;94.126,39
02/01/2026;889;TRANSF. CTAS (D);CTA DEST  60 008;Sim;Dinheiro;0201;;2.963,57;91.162,82
02/01/2026;916;ENT. P/ DEP. DINHEIRO;95 CROSBY SHOPPING MIDWAY;Sim;Dinheiro;;3.400,00;;94.562,82
02/01/2026;994;CREDITO BX DE FATURA - BANCO;CREDITO BX  FAT  CLIENTE;Sim;Dinheiro;;434,98;;94.997,80
02/01/2026;994;CREDITO BX DE FATURA - BANCO;CREDITO BX  FAT  CLIENTE;Sim;Dinheiro;;194,41;;95.192,21
02/01/2026;75;TRANSFERENCIA ENTRE CONTAS;TITULO QUE NAO BAIXAOU COM O COB;Sim;Outro documento;;;194,41;94.997,80
TOTAL DIA;;;;;;;54.197,80 ;24.200,83;94.997,80;-1.058.927,37
05/01/2026;511;CREDITO RECEBIMENTO DE FATURA;RECEB  COB  BANCARIA;Sim;Dinheiro;277;321,55;;95.319,35
05/01/2026;511;CREDITO RECEBIMENTO DE FATURA;RECEB  COB  BANCARIA;Sim;Dinheiro;279;6.549,81;;101.869,16
05/01/2026;511;CREDITO RECEBIMENTO DE FATURA;RECEB  COB  BANCARIA;Sim;Dinheiro;280;205,09;;102.074,25
05/01/2026;511;CREDITO RECEBIMENTO DE FATURA;RECEB  COB  BANCARIA;Sim;Dinheiro;281;245,33;;102.319,58
05/01/2026;505;DEBITO DE DESCONTO DE FATURA;DESP  COB  BANCARIA;Sim;Dinheiro;50.126/1;;5,60;102.313,98
05/01/2026;505;DEBITO DE DESCONTO DE FATURA;DESP  COB  BANCARIA;Sim;Dinheiro;50.126/2;;1,40;102.312,58
05/01/2026;1040;LIQUIDACAO DE CARTAO;100506496 MASTERCARD MAESTRO CREDITO DE CARTAO;Sim;Dinheiro;218856;177,59;;102.490,17
05/01/2026;1040;LIQUIDACAO DE CARTAO;101436602 MASTERCARD MAESTRO CREDITO DE CARTAO;Sim;Dinheiro;218857;304,57;;102.794,74
05/01/2026;1040;LIQUIDACAO DE CARTAO;102536023 ELO CREDITO DE CARTAO;Sim;Dinheiro;218858;68,11;;102.862,85
05/01/2026;1040;LIQUIDACAO DE CARTAO;102670897 MASTERCARD MAESTRO CREDITO DE CARTAO;Sim;Dinheiro;218859;308,54;;103.171,39
05/01/2026;910;PAGAMENTO EM DINHEIRO;5 454 545 204 JOAO P;Sim;Dinheiro;;;5.000,00;98.171,39
05/01/2026;910;PAGAMENTO EM DINHEIRO;2 755 17 ENERGISA PA;Sim;Dinheiro;;;30,28;98.141,11
05/01/2026;910;PAGAMENTO EM DINHEIRO;2 497 17 ENERGISA PA;Sim;Dinheiro;;;48,12;98.092,99
05/01/2026;910;PAGAMENTO EM DINHEIRO;2 517 17 ENERGISA PA;Sim;Dinheiro;;;30,28;98.062,71
05/01/2026;910;PAGAMENTO EM DINHEIRO;12 581 17 ENERGISA P;Sim;Dinheiro;;;99,86;97.962,85
05/01/2026;910;PAGAMENTO EM DINHEIRO;15 202 17 ENERGISA P;Sim;Dinheiro;;;277,03;97.685,82
05/01/2026;910;PAGAMENTO EM DINHEIRO;30 122 025 1 GABRIEL;Sim;Dinheiro;;;237,63;97.448,19
05/01/2026;910;PAGAMENTO EM DINHEIRO;3 012 202 501 1 THIA;Sim;Dinheiro;;;419,26;97.028,93
05/01/2026;910;PAGAMENTO EM DINHEIRO;1 102 17 ENERGISA PA;Sim;Dinheiro;;;1.308,50;95.720,43
05/01/2026;910;PAGAMENTO EM DINHEIRO;2 312 202 501 1 HUMA;Sim;Dinheiro;;;1.128,68;94.591,75
05/01/2026;910;PAGAMENTO EM DINHEIRO;165 165 79 VERA VANI;Sim;Dinheiro;;;1.220,00;93.371,75
05/01/2026;910;PAGAMENTO EM DINHEIRO;3 3 CIA DE FIACAO E;Sim;Dinheiro;;;2.757,01;90.614,74
05/01/2026;910;PAGAMENTO EM DINHEIRO;45 646 4 CASTRO  SMI;Sim;Dinheiro;;;10.000,00;80.614,74
05/01/2026;75;TRANSFERENCIA ENTRE CONTAS;LIQUIDACAO DE PARCELA;Sim;Dinheiro;C50237959;;9.048,85;71.565,89
05/01/2026;266;IOF;IOF S  OPER  CREDITO PJ;Sim;Dinheiro;C50237959;;0,99;71.564,90
05/01/2026;75;TRANSFERENCIA ENTRE CONTAS;LIQUIDACAO CONTRATO;Sim;Dinheiro;C50239140;;10.433,47;61.131,43
05/01/2026;266;IOF;IOF S  OPER  CREDITO PJ;Sim;Dinheiro;C50239140;;2,32;61.129,11
05/01/2026;75;TRANSFERENCIA ENTRE CONTAS;LIQUIDACAO CONTRATO;Sim;Dinheiro;C50237959;;5.926,86;55.202,25
05/01/2026;266;IOF;IOF S  OPER  CREDITO PJ;Sim;Dinheiro;C50237959;;0,65;55.201,60
05/01/2026;910;PAGAMENTO EM DINHEIRO;57 900 19 ABF ASSOCI;Sim;Dinheiro;;;933,98;54.267,62
05/01/2026;910;PAGAMENTO EM DINHEIRO;626 232 9 3R SERVICO;Sim;Dinheiro;;;71,65;54.195,97
05/01/2026;1040;LIQUIDACAO DE CARTAO;85314307 MASTERCARD MAESTRO CREDITO DE CARTAO;Sim;Dinheiro;219017;156,12;;54.352,09
05/01/2026;1040;LIQUIDACAO DE CARTAO;85314307 VISA VISA ELECTRON CREDITO DE CARTAO;Sim;Dinheiro;219018;477,74;;54.829,83
05/01/2026;1040;LIQUIDACAO DE CARTAO;100506496 VISA VISA ELECTRON CREDITO DE CARTAO;Sim;Dinheiro;219034;196,04;;55.025,87
05/01/2026;1040;LIQUIDACAO DE CARTAO;102536023 MASTERCARD MAESTRO CREDITO DE CARTAO;Sim;Dinheiro;219035;245,05;;55.270,92
05/01/2026;1040;LIQUIDACAO DE CARTAO;102670897 MASTERCARD MAESTRO CREDITO DE CARTAO;Sim;Dinheiro;219036;137,90;;55.408,82
05/01/2026;1040;LIQUIDACAO DE CARTAO;102670897 VISA VISA ELECTRON CREDITO DE CARTAO;Sim;Dinheiro;219037;258,73;;55.667,55
05/01/2026;1040;LIQUIDACAO DE CARTAO;100506496 MASTERCARD MAESTRO CREDITO DE CARTAO;Sim;Dinheiro;219038;88,29;;55.755,84
05/01/2026;1040;LIQUIDACAO DE CARTAO;100506496 ELO CREDITO DE CARTAO;Sim;Dinheiro;219039;314,88;;56.070,72
05/01/2026;1040;LIQUIDACAO DE CARTAO;102536023 VISA VISA ELECTRON CREDITO DE CARTAO;Sim;Dinheiro;219040;98,22;;56.168,94
05/01/2026;1040;LIQUIDACAO DE CARTAO;102536023 ELO CREDITO DE CARTAO;Sim;Dinheiro;219041;88,84;;56.257,78
05/01/2026;1040;LIQUIDACAO DE CARTAO;100506496 MASTERCARD MAESTRO CREDITO DE CARTAO;Sim;Dinheiro;219308;784,28;;57.042,06
05/01/2026;1040;LIQUIDACAO DE CARTAO;100506496 VISA VISA ELECTRON CREDITO DE CARTAO;Sim;Dinheiro;219309;1.052,06;;58.094,12
05/01/2026;1040;LIQUIDACAO DE CARTAO;101436173 MASTERCARD MAESTRO CREDITO DE CARTAO;Sim;Dinheiro;219310;741,03;;58.835,15
05/01/2026;1040;LIQUIDACAO DE CARTAO;101436602 MASTERCARD MAESTRO CREDITO DE CARTAO;Sim;Dinheiro;219311;536,12;;59.371,27
05/01/2026;1040;LIQUIDACAO DE CARTAO;101436602 VISA VISA ELECTRON CREDITO DE CARTAO;Sim;Dinheiro;219312;121,25;;59.492,52
05/01/2026;1040;LIQUIDACAO DE CARTAO;102536023 MASTERCARD MAESTRO CREDITO DE CARTAO;Sim;Dinheiro;219313;1.296,79;;60.789,31
05/01/2026;1040;LIQUIDACAO DE CARTAO;102536023 VISA VISA ELECTRON CREDITO DE CARTAO;Sim;Dinheiro;219314;1.515,30;;62.304,61
05/01/2026;1040;LIQUIDACAO DE CARTAO;102670897 MASTERCARD MAESTRO CREDITO DE CARTAO;Sim;Dinheiro;219315;1.600,59;;63.905,20
05/01/2026;1040;LIQUIDACAO DE CARTAO;102670897 VISA VISA ELECTRON CREDITO DE CARTAO;Sim;Dinheiro;219316;120,78;;64.025,98
05/01/2026;994;CREDITO BX DE FATURA - BANCO;CREDITO BX  FAT  CLIENTE;Sim;Dinheiro;;1.191,72;;65.217,70
05/01/2026;889;TRANSF. CTAS (D);CTA DEST  60 008;Sim;Dinheiro;0501;;4.412,05;60.805,65
05/01/2026;95;C TED-TRANSF ELET DISPON;ANTECIPACAO DE BOLETO;Sim;Outro documento;C50235256;725,34;;61.530,99
05/01/2026;888;TRANSF. CTAS (C);CTA ORIG  10 002;Sim;Dinheiro;16012026;2.000,00;;63.530,99
05/01/2026;888;TRANSF. CTAS (C);CTA ORIG  10 001;Sim;Dinheiro;1601202603;1.900,00;;65.430,99
05/01/2026;888;TRANSF. CTAS (C);CTA ORIG  20 010;Sim;Dinheiro;16012026;2.750,54;;68.181,53
05/01/2026;888;TRANSF. CTAS (C);CTA ORIG  30 007;Sim;Dinheiro;1601202603;9.600,00;;77.781,53
05/01/2026;888;TRANSF. CTAS (C);CTA ORIG  40 001;Sim;Dinheiro;16012026;2.700,00;;80.481,53
05/01/2026;888;TRANSF. CTAS (C);CTA ORIG  20 003;Sim;Dinheiro;0501;833,51;;81.315,04
05/01/2026;910;PAGAMENTO EM DINHEIRO;59 598 1 CONFIANCA S;Sim;Dinheiro;;;286,46;81.028,58
TOTAL DIA;;;;;;;39.711,71 ;53.680,93;81.028,58;-1.074.088,31
06/01/2026;505;DEBITO DE DESCONTO DE FATURA;DESP  COB  BANCARIA;Sim;Dinheiro;60.126/1;;5,60;81.022,98
06/01/2026;505;DEBITO DE DESCONTO DE FATURA;DESP  COB  BANCARIA;Sim;Dinheiro;60.126/2;;1,40;81.021,58
06/01/2026;505;DEBITO DE DESCONTO DE FATURA;DESP  COB  BANCARIA;Sim;Dinheiro;60.126/3;;2,80;81.018,78
06/01/2026;1040;LIQUIDACAO DE CARTAO;85314307 MASTERCARD MAESTRO CREDITO DE CARTAO;Sim;Dinheiro;218846;523,59;;81.542,37
06/01/2026;1040;LIQUIDACAO DE CARTAO;100506496 MASTERCARD MAESTRO CREDITO DE CARTAO;Sim;Dinheiro;218852;242,07;;81.784,44
06/01/2026;1040;LIQUIDACAO DE CARTAO;100506496 VISA VISA ELECTRON CREDITO DE CARTAO;Sim;Dinheiro;218853;73,91;;81.858,35
06/01/2026;1040;LIQUIDACAO DE CARTAO;100506496 ELO CREDITO DE CARTAO;Sim;Dinheiro;218854;201,37;;82.059,72
06/01/2026;1040;LIQUIDACAO DE CARTAO;101436602 VISA VISA ELECTRON CREDITO DE CARTAO;Sim;Dinheiro;218855;795,17;;82.854,89
06/01/2026;888;TRANSF. CTAS (C);CTA ORIG  10 001;Sim;Dinheiro;0601;580,00;;83.434,89
06/01/2026;888;TRANSF. CTAS (C);CTA ORIG  40 001;Sim;Dinheiro;0601;870,00;;84.304,89
06/01/2026;888;TRANSF. CTAS (C);CTA ORIG  10 002;Sim;Dinheiro;0601;1.120,00;;85.424,89
06/01/2026;910;PAGAMENTO EM DINHEIRO;742 821 1 VIRTUAL GA;Sim;Dinheiro;;;131,48;85.293,41
06/01/2026;910;PAGAMENTO EM DINHEIRO;742 823 1 VIRTUAL GA;Sim;Dinheiro;;;131,48;85.161,93
06/01/2026;910;PAGAMENTO EM DINHEIRO;742 829 1 VIRTUAL GA;Sim;Dinheiro;;;131,48;85.030,45
06/01/2026;910;PAGAMENTO EM DINHEIRO;742 835 1 VIRTUAL GA;Sim;Dinheiro;;;131,48;84.898,97
06/01/2026;910;PAGAMENTO EM DINHEIRO;742 840 1 VIRTUAL GA;Sim;Dinheiro;;;131,48;84.767,49
06/01/2026;910;PAGAMENTO EM DINHEIRO;4 546 5 VIRTUAL GATE;Sim;Dinheiro;;;100,00;84.667,49
06/01/2026;910;PAGAMENTO EM DINHEIRO;45 646 5 VIRTUAL GAT;Sim;Dinheiro;;;100,00;84.567,49
06/01/2026;910;PAGAMENTO EM DINHEIRO;456 420 5 VIRTUAL GA;Sim;Dinheiro;;;100,00;84.467,49
06/01/2026;910;PAGAMENTO EM DINHEIRO;456 462 5 VIRTUAL GA;Sim;Dinheiro;;;100,00;84.367,49
06/01/2026;910;PAGAMENTO EM DINHEIRO;45 645 462 5 VIRTUAL;Sim;Dinheiro;;;100,00;84.267,49
06/01/2026;910;PAGAMENTO EM DINHEIRO;45 646 10 VIRTUAL GA;Sim;Dinheiro;;;100,00;84.167,49
06/01/2026;910;PAGAMENTO EM DINHEIRO;54 566 5 VIRTUAL GAT;Sim;Dinheiro;;;100,00;84.067,49
06/01/2026;910;PAGAMENTO EM DINHEIRO;4 546 5 VIRTUAL GATE;Sim;Dinheiro;;;100,00;83.967,49
06/01/2026;910;PAGAMENTO EM DINHEIRO;45 646 5 VIRTUAL GAT;Sim;Dinheiro;;;100,00;83.867,49
06/01/2026;910;PAGAMENTO EM DINHEIRO;737 534 1 VIRTUAL GA;Sim;Dinheiro;;;131,48;83.736,01
06/01/2026;910;PAGAMENTO EM DINHEIRO;737 587 1 VIRTUAL GA;Sim;Dinheiro;;;131,48;83.604,53
06/01/2026;910;PAGAMENTO EM DINHEIRO;737 590 1 VIRTUAL GA;Sim;Dinheiro;;;131,48;83.473,05
06/01/2026;910;PAGAMENTO EM DINHEIRO;772 697 1 LINDAINEZ;Sim;Dinheiro;;;320,00;83.153,05
06/01/2026;910;PAGAMENTO EM DINHEIRO;601 202 601 12 QUARK;Sim;Dinheiro;;;808,10;82.344,95
06/01/2026;910;PAGAMENTO EM DINHEIRO;6 012 026 1 CLARA AN;Sim;Dinheiro;;;1.360,00;80.984,95
06/01/2026;910;PAGAMENTO EM DINHEIRO;5 995 1 VIRTUAL GATE;Sim;Dinheiro;;;20,07;80.964,88
06/01/2026;910;PAGAMENTO EM DINHEIRO;6 599 1 VIRTUAL GATE;Sim;Dinheiro;;;15,50;80.949,38
06/01/2026;910;PAGAMENTO EM DINHEIRO;95 995 1 VIRTUAL GAT;Sim;Dinheiro;;;9,30;80.940,08
06/01/2026;910;PAGAMENTO EM DINHEIRO;65 995 1 R VALERIO C;Sim;Dinheiro;;;164,98;80.775,10
06/01/2026;889;TRANSF. CTAS (D);CTA DEST  30 003;Sim;Dinheiro;0601;;13.500,00;67.275,10
06/01/2026;1040;LIQUIDACAO DE CARTAO;100506496 MASTERCARD MAESTRO CREDITO DE CARTAO;Sim;Dinheiro;219296;71,20;;67.346,30
06/01/2026;1040;LIQUIDACAO DE CARTAO;100506496 VISA VISA ELECTRON CREDITO DE CARTAO;Sim;Dinheiro;219297;210,73;;67.557,03
06/01/2026;1040;LIQUIDACAO DE CARTAO;101436602 MASTERCARD MAESTRO CREDITO DE CARTAO;Sim;Dinheiro;219298;525,85;;68.082,88
06/01/2026;1040;LIQUIDACAO DE CARTAO;101436602 VISA VISA ELECTRON CREDITO DE CARTAO;Sim;Dinheiro;219299;449,98;;68.532,86
06/01/2026;1040;LIQUIDACAO DE CARTAO;102670897 MASTERCARD MAESTRO CREDITO DE CARTAO;Sim;Dinheiro;219300;720,97;;69.253,83
06/01/2026;1040;LIQUIDACAO DE CARTAO;102670897 VISA VISA ELECTRON CREDITO DE CARTAO;Sim;Dinheiro;219301;143,26;;69.397,09
06/01/2026;888;TRANSF. CTAS (C);CTA ORIG  40 001;Sim;Dinheiro;15012026;3,00;;69.400,09
06/01/2026;994;CREDITO BX DE FATURA - BANCO;CREDITO BX  FAT  CLIENTE;Sim;Dinheiro;;1.676,98;;71.077,07
06/01/2026;994;CREDITO BX DE FATURA - BANCO;CREDITO BX  FAT  CLIENTE;Sim;Dinheiro;;535,98;;71.613,05
06/01/2026;994;CREDITO BX DE FATURA - BANCO;CREDITO BX  FAT  CLIENTE;Sim;Dinheiro;;1.000,98;;72.614,03
06/01/2026;95;C TED-TRANSF ELET DISPON;TITULOS SIMPLES Q ESTAO NA DESCONTADA NO TOTVS;Sim;Outro documento;;1.843,70;;74.457,73
06/01/2026;910;PAGAMENTO EM DINHEIRO;6 296 259 1 SANTANDE;Sim;Dinheiro;;;5.944,94;68.512,79
TOTAL DIA;;;;;;;11.588,74 ;24.104,53;68.512,79;-1.088.502,38
07/01/2026;916;ENT. P/ DEP. DINHEIRO;02 CROSBY JOAO PESSOA;Sim;Dinheiro;;1.280,00;;69.792,79
07/01/2026;511;CREDITO RECEBIMENTO DE FATURA;RECEB  COB  BANCARIA;Sim;Dinheiro;291;1.019,45;;70.812,24
07/01/2026;505;DEBITO DE DESCONTO DE FATURA;DESP  COB  BANCARIA;Sim;Dinheiro;70.126/1;;2,80;70.809,44
07/01/2026;1040;LIQUIDACAO DE CARTAO;85314307 MASTERCARD MAESTRO CREDITO DE CARTAO;Sim;Dinheiro;219013;181,60;;70.991,04
07/01/2026;1040;LIQUIDACAO DE CARTAO;100506496 MASTERCARD MAESTRO CREDITO DE CARTAO;Sim;Dinheiro;219082;139,89;;71.130,93
07/01/2026;1040;LIQUIDACAO DE CARTAO;100506496 VISA VISA ELECTRON CREDITO DE CARTAO;Sim;Dinheiro;219083;54,07;;71.185,00
07/01/2026;1040;LIQUIDACAO DE CARTAO;102536023 VISA VISA ELECTRON CREDITO DE CARTAO;Sim;Dinheiro;219084;113,89;;71.298,89
07/01/2026;1040;LIQUIDACAO DE CARTAO;102536023 ELO CREDITO DE CARTAO;Sim;Dinheiro;219085;148,06;;71.446,95
07/01/2026;1040;LIQUIDACAO DE CARTAO;102670897 VISA VISA ELECTRON CREDITO DE CARTAO;Sim;Dinheiro;219086;16,87;;71.463,82
07/01/2026;1040;LIQUIDACAO DE CARTAO;15105127 GETNET CREDITO DE CARTAO;Sim;Dinheiro;219151;117,21;;71.581,03
07/01/2026;1040;LIQUIDACAO DE CARTAO;15451189 GETNET CREDITO DE CARTAO;Sim;Dinheiro;219152;27,57;;71.608,60
07/01/2026;1041;ALUGUEL P.O.S. PARA OPERADORA;15451189 POS;Sim;Dinheiro;;;3,14;71.605,46
07/01/2026;1041;ALUGUEL P.O.S. PARA OPERADORA;15451189 POS;Sim;Dinheiro;;;10,80;71.594,66
07/01/2026;888;TRANSF. CTAS (C);CTA ORIG  10 001;Sim;Dinheiro;0701;5.100,00;;76.694,66
07/01/2026;888;TRANSF. CTAS (C);CTA ORIG  40 001;Sim;Dinheiro;0701;340,00;;77.034,66
07/01/2026;888;TRANSF. CTAS (C);CTA ORIG  30 007;Sim;Dinheiro;0701;4.300,00;;81.334,66
07/01/2026;910;PAGAMENTO EM DINHEIRO;13 132 111 13 MIDWAY;Sim;Dinheiro;;;29.045,84;52.288,82
07/01/2026;910;PAGAMENTO EM DINHEIRO;3 012 202 501 1 JEFE;Sim;Dinheiro;;;132,91;52.155,91
07/01/2026;910;PAGAMENTO EM DINHEIRO;5 959 1 NEMO NATAL S;Sim;Dinheiro;;;277,55;51.878,36
07/01/2026;994;CREDITO BX DE FATURA - BANCO;CREDITO BX  FAT  CLIENTE;Sim;Dinheiro;;1.786,41;;53.664,77
07/01/2026;1040;LIQUIDACAO DE CARTAO;100506496 MASTERCARD MAESTRO CREDITO DE CARTAO;Sim;Dinheiro;219286;894,10;;54.558,87
07/01/2026;1040;LIQUIDACAO DE CARTAO;100506496 VISA VISA ELECTRON CREDITO DE CARTAO;Sim;Dinheiro;219287;337,53;;54.896,40
07/01/2026;1040;LIQUIDACAO DE CARTAO;101436173 MASTERCARD MAESTRO CREDITO DE CARTAO;Sim;Dinheiro;219288;149,08;;55.045,48
07/01/2026;1040;LIQUIDACAO DE CARTAO;101436602 MASTERCARD MAESTRO CREDITO DE CARTAO;Sim;Dinheiro;219289;780,47;;55.825,95
